SVM,KNeighborsClassifier,Common_Features,LogisticRegression,DecisionTreeClassifier,XGBoost
TET2_Missense_Mutation,ATRX_Missense_Mutation,,VTCN1_logCR,ATM_Missense_Mutation,SDHB_logCR
PPARG_Missense_Mutation,MTOR_Missense_Mutation,,HSD3B1_logCR,PLCG2_Missense_Mutation,CSF3R_logCR
TP63_Missense_Mutation,NRAS_Missense_Mutation_hotspot,,NOTCH2_logCR,DICER1_Missense_Mutation,CDKN2C_logCR
SLX4_Missense_Mutation,PTPRT_Missense_Mutation,,HIST2H3A_logCR,FAS_Missense_Mutation,JUN_logCR
EPHA3_Missense_Mutation,TET2_Missense_Mutation,,MCL1_logCR,HIST1H3F_Missense_Mutation,NEGR1_logCR
MDC1_Missense_Mutation,SNCAIP_Missense_Mutation,,DDR2_logCR,ERRFI1_logCR,NRAS_logCR
TP53_Nonsense_Mutation,MET_Missense_Mutation,,H3F3A_logCR,MTOR_logCR,VTCN1_logCR
GLI1_Missense_Mutation,IRS1_Missense_Mutation,,HIST3H3_logCR,SPEN_logCR,NTRK1_logCR
TBX3_Missense_Mutation,PPARG_Missense_Mutation,,FH_logCR,RAD54L_logCR,SPTA1_logCR
BRCA2_Missense_Mutation,NOTCH4_Missense_Mutation,,KIF5B_logCR,NEGR1_logCR,SDHC_logCR
TOP2A_Missense_Mutation,FGF23_Missense_Mutation,,ARID5B_logCR,FUBP1_logCR,PIK3C2B_logCR
NCOA3_Missense_Mutation,CASP8_Missense_Mutation,,SUFU_logCR,FAM46C_logCR,MDM4_logCR
PIK3CD_logCR,EPHA3_Missense_Mutation,,HRAS_logCR,HSD3B1_logCR,PARP1_logCR
MTOR_logCR,CYLD_Missense_Mutation,,LMO1_logCR,MCL1_logCR,AKT3_logCR
STK40_logCR,PLCG2_Missense_Mutation,,FANCF_logCR,RIT1_logCR,GATA3_logCR
MUTYH_logCR,GNAS_Missense_Mutation,,SDHAF2_logCR,ABL2_logCR,FGF8_logCR
RAD54L_logCR,FAS_Missense_Mutation,,RPS6KA4_logCR,PIK3C2B_logCR,CCND1_logCR
CDKN2C_logCR,TBX3_Missense_Mutation,,RPS6KB2_logCR,GATA3_logCR,FGF19_logCR
JUN_logCR,NCOA3_Missense_Mutation,,CCND1_logCR,FAS_logCR,FGF3_logCR
JAK1_logCR,MTOR_logCR,,FGF4_logCR,SMC3_logCR,YAP1_logCR
NEGR1_logCR,SDHB_logCR,,FGF3_logCR,LMO1_logCR,SDHD_logCR
NOTCH2_logCR,ARID1A_logCR,,SDHD_logCR,FANCF_logCR,CHEK1_logCR
MCL1_logCR,CSF3R_logCR,,ETS1_logCR,FGF4_logCR,FGF23_logCR
SDHC_logCR,MPL_logCR,,RAD52_logCR,FGF3_logCR,FGF6_logCR
RFWD2_logCR,RAD54L_logCR,,CCND2_logCR,EED_logCR,CHD4_logCR
IKBKE_logCR,JUN_logCR,,FGF23_logCR,PGR_logCR,KMT2D_logCR
GATA3_logCR,VTCN1_logCR,,CDKN1B_logCR,CBL_logCR,SMARCD1_logCR
KIF5B_logCR,HSD3B1_logCR,,H3F3C_logCR,ETS1_logCR,ERBB3_logCR
RET_logCR,HIST2H3D_logCR,,ARID2_logCR,FLI1_logCR,NAB2_logCR
ARID5B_logCR,MCL1_logCR,,KMT2D_logCR,FGF23_logCR,CDK4_logCR
BMPR1A_logCR,RIT1_logCR,,ACVR1B_logCR,FGF6_logCR,MDM2_logCR
PTEN_logCR,SPTA1_logCR,,NAB2_logCR,ETV6_logCR,LATS2_logCR
FAS_logCR,SDHC_logCR,,LATS2_logCR,CDKN1B_logCR,FLT3_logCR
SUFU_logCR,IL10_logCR,,FGF14_logCR,NAB2_logCR,ERCC5_logCR
FGFR2_logCR,PARP1_logCR,,ERCC5_logCR,GLI1_logCR,NFKBIA_logCR
IGF2_logCR,GATA3_logCR,,IRS2_logCR,RAB35_logCR,FOXA1_logCR
WT1_logCR,ANKRD26_logCR,,LAMP1_logCR,POLE_logCR,MAX_logCR
RPS6KA4_logCR,KIF5B_logCR,,NFKBIA_logCR,FLT1_logCR,TSHR_logCR
FGF19_logCR,ARID5B_logCR,,FOXA1_logCR,DIS3_logCR,GREM1_logCR
FGF4_logCR,TET1_logCR,,AKT1_logCR,BCL2L2_logCR,NUTM1_logCR
FGF3_logCR,FAS_logCR,,NUTM1_logCR,CD276_logCR,MGA_logCR
MRE11A_logCR,FGF8_logCR,,RAD51_logCR,NTRK3_logCR,CD276_logCR
YAP1_logCR,SUFU_logCR,,FGF7_logCR,IDH2_logCR,NTRK3_logCR
BIRC3_logCR,TCF7L2_logCR,,SMAD3_logCR,CHD2_logCR,FANCI_logCR
SDHD_logCR,HRAS_logCR,,NTRK3_logCR,SLX4_logCR,IDH2_logCR
ETS1_logCR,FANCF_logCR,,IGF1R_logCR,PALB2_logCR,BLM_logCR
FLI1_logCR,SDHAF2_logCR,,SLX4_logCR,MAPK3_logCR,CHD2_logCR
KDM5A_logCR,RPS6KA4_logCR,,GRIN2A_logCR,PRSS8_logCR,CREBBP_logCR
RAD52_logCR,RPS6KB2_logCR,,PALB2_logCR,CYLD_logCR,GRIN2A_logCR
FGF6_logCR,CCND1_logCR,,PRSS8_logCR,NUP93_logCR,SOCS1_logCR
CDKN1B_logCR,FGF4_logCR,,NUP93_logCR,CBFB_logCR,CTCF_logCR
KMT2D_logCR,EED_logCR,,CBFB_logCR,CDH1_logCR,ZFHX3_logCR
SMARCD1_logCR,MRE11A_logCR,,CTCF_logCR,ZFHX3_logCR,PLCG2_logCR
CDK4_logCR,PGR_logCR,,CDH1_logCR,PLCG2_logCR,ANKRD11_logCR
FRS2_logCR,YAP1_logCR,,ZFHX3_logCR,FLCN_logCR,AURKB_logCR
BTG1_logCR,ATM_logCR,,PLCG2_logCR,GID4_logCR,NCOR1_logCR
PTPN11_logCR,CHEK1_logCR,,NCOR1_logCR,SUZ12_logCR,TOP2A_logCR
FGF9_logCR,ETS1_logCR,,ERBB2_logCR,ETV4_logCR,BRCA1_logCR
CDK8_logCR,RAD52_logCR,,STAT5A_logCR,SPOP_logCR,SPOP_logCR
RB1_logCR,CCND2_logCR,,ETV4_logCR,AXIN2_logCR,BRIP1_logCR
DIS3_logCR,CHD4_logCR,,MAP3K14_logCR,H3F3B_logCR,H3F3B_logCR
FGF14_logCR,CDKN1B_logCR,,HOXB13_logCR,RPTOR_logCR,SMAD4_logCR
NKX2.1_logCR,PIK3C2G_logCR,,SOX9_logCR,YES1_logCR,STK11_logCR
FOXA1_logCR,H3F3C_logCR,,SRSF2_logCR,GATA6_logCR,TCF3_logCR
MAX_logCR,FRS2_logCR,,YES1_logCR,DNMT1_logCR,DOT1L_logCR
TSHR_logCR,SH2B3_logCR,,PIK3C3_logCR,MEF2B_logCR,CALR_logCR
HSP90AA1_logCR,PTPN11_logCR,,SMAD2_logCR,GEN1_logCR,DNAJB1_logCR
AKT1_logCR,FLT1_logCR,,PMAIP1_logCR,ASXL2_logCR,JAK3_logCR
CD276_logCR,FOXO1_logCR,,GNA11_logCR,ALK_logCR,PIK3R2_logCR
AXIN1_logCR,LAMP1_logCR,,DNMT1_logCR,EML4_logCR,MEF2B_logCR
GRIN2A_logCR,BCL2L2_logCR,,MEF2B_logCR,MSH2_logCR,CCNE1_logCR
ERCC4_logCR,NFKBIA_logCR,,CCNE1_logCR,ACVR1_logCR,AXL_logCR
PALB2_logCR,MAX_logCR,,KMT2B_logCR,PMS1_logCR,ERCC1_logCR
PRSS8_logCR,RAD51B_logCR,,AXL_logCR,BCL2L1_logCR,POLD1_logCR
NUP93_logCR,HSP90AA1_logCR,,CD79A_logCR,ZNF217_logCR,DNMT3A_logCR
CTCF_logCR,AKT1_logCR,,ERCC2_logCR,GNAS_logCR,CENPA_logCR
PLCG2_logCR,B2M_logCR,,GEN1_logCR,U2AF1_logCR,EML4_logCR
FANCA_logCR,FGF7_logCR,,ASXL2_logCR,ICOSLG_logCR,MSH6_logCR
GPS2_logCR,CD276_logCR,,ALK_logCR,CRKL_logCR,FANCL_logCR
TP53_logCR,NTRK3_logCR,,EML4_logCR,MAPK1_logCR,PAX8_logCR
ALOX12B_logCR,FANCI_logCR,,REL_logCR,SMARCB1_logCR,ERCC3_logCR
MAP2K4_logCR,IDH2_logCR,,RANBP2_logCR,CHEK2_logCR,PDCD1_logCR
NCOR1_logCR,BLM_logCR,,BARD1_logCR,EWSR1_logCR,PAK7_logCR
FLCN_logCR,CHD2_logCR,,INHA_logCR,NF2_logCR,BCL2L1_logCR
GID4_logCR,SLX4_logCR,,PAX3_logCR,EP300_logCR,SRC_logCR
RAD51D_logCR,SOCS1_logCR,,CUL3_logCR,RAF1_logCR,TOP1_logCR
ERBB2_logCR,ERCC4_logCR,,BCL2L1_logCR,TGFBR2_logCR,AURKA_logCR
STAT5B_logCR,PRSS8_logCR,,ASXL1_logCR,MLH1_logCR,TMPRSS2_logCR
STAT3_logCR,CBFB_logCR,,DNMT3B_logCR,RHOA_logCR,U2AF1_logCR
BRCA1_logCR,CDH1_logCR,,NCOA3_logCR,MST1_logCR,CHEK2_logCR
ETV4_logCR,TP53_logCR,,GNAS_logCR,BAP1_logCR,NF2_logCR
PPM1D_logCR,AURKB_logCR,,RUNX1_logCR,MITF_logCR,MLH1_logCR
BRIP1_logCR,MAP2K4_logCR,,LZTR1_logCR,FOXP1_logCR,MYD88_logCR
SOX9_logCR,FLCN_logCR,,MAPK1_logCR,PIK3CB_logCR,CTNNB1_logCR
SRSF2_logCR,GID4_logCR,,CHEK2_logCR,PIK3CA_logCR,MITF_logCR
GATA6_logCR,STAT5B_logCR,,EWSR1_logCR,MAP3K13_logCR,GSK3B_logCR
PIK3C3_logCR,STAT3_logCR,,FANCD2_logCR,ETV5_logCR,GATA2_logCR
SMAD4_logCR,BRCA1_logCR,,PPARG_logCR,TFRC_logCR,FOXL2_logCR
PMAIP1_logCR,MAP3K14_logCR,,RAF1_logCR,KIT_logCR,ATR_logCR
BCL2_logCR,HOXB13_logCR,,TGFBR2_logCR,KDR_logCR,TERC_logCR
TCF3_logCR,SPOP_logCR,,MYD88_logCR,FAM175A_logCR,SOX2_logCR
DOT1L_logCR,RAD51C_logCR,,CTNNB1_logCR,FGF2_logCR,TFRC_logCR
GNA11_logCR,RPS6KB1_logCR,,SETD2_logCR,INPP4B_logCR,FGF5_logCR
