importances,feature_names,std
0.026238707147685475,BMPR1A_logCR,0.11815801385154648
0.01996420412066712,MYC_logCR,0.10909270960883483
0.01944729543521616,RUNX1T1_logCR,0.10666888107188438
0.018248196248196246,NBN_logCR,0.10382543576282334
0.017082806953395188,FGFR2_logCR,0.08961965465842595
0.01670405060947824,FBXW7_logCR,0.0922223265370022
0.016189604730781203,CDK6_logCR,0.08928386746812182
0.0161064035698576,RECQL4_logCR,0.0920461213426484
0.016022115895800104,TCEB1_logCR,0.0916096547334893
0.015502769108843118,PTEN_logCR,0.08840713517985876
0.014719383651714477,FAT1_logCR,0.07777693374235865
0.014387912740853916,MET_logCR,0.09187759003130669
0.014180548045553498,RB1_logCR,0.09950196563386852
0.014135014005602242,IRF2_logCR,0.09920421974334531
0.01404197355814861,EGFR_logCR,0.07921663544896825
0.0134234606123151,ARID5B_logCR,0.08409857685662142
0.01242848492894022,HGF_logCR,0.08979222701598476
0.011870272830025152,NUTM1_logCR,0.07164221547502886
0.011324589443620586,CDK12_logCR,0.0792755358854249
0.011268339503633621,TET1_logCR,0.08076928722947514
0.010641267282372307,MGA_logCR,0.06105624296791541
0.010348323571852985,TCF7L2_logCR,0.06142778873799216
0.010051136449012095,ETV1_logCR,0.053450687831388295
0.009893142932103971,PIK3CG_logCR,0.06936504102226623
0.009714321329294591,HOXB13_logCR,0.04987645348872579
0.008838923492125172,RAC1_logCR,0.0547615381748751
0.00876923076923077,HIST1H3G_logCR,0.08725274448473443
0.008731940505315118,RAD21_logCR,0.06158628797083821
0.008709872721018232,KDR_logCR,0.06248307329471734
0.008524761618583128,ESR1_logCR,0.052204300317090044
0.008416155926453409,IKZF1_logCR,0.05336950467568973
0.008311688311688312,KIT_logCR,0.062216332141630644
0.008279233368065422,CARD11_logCR,0.05374826946455528
0.00806984126984127,PRDM1_logCR,0.06870318294619829
0.008068231603454275,FOXA1_logCR,0.04339853097935749
0.007996983408748118,BRCA1_logCR,0.05606513264500367
0.007783760030544567,XRCC2_logCR,0.05189941207754817
0.007576750971168189,PREX2_logCR,0.07538772030397739
0.0075444818142452914,ERBB2_logCR,0.043742560925462796
0.007463101604278075,CTNNB1_logCR,0.057009941683628065
0.006627450980392156,SLIT2_logCR,0.06594230465530135
0.00631776212168369,FAM175A_logCR,0.0447628275834123
0.006167320261437908,CD79B_logCR,0.04976429343092521
0.005944724556489263,PDCD1LG2_logCR,0.03832858361739673
0.005787932803975584,TFRC_logCR,0.04052777337754738
0.005678193701723114,SUFU_logCR,0.040841325000321116
0.005671773015426267,PIK3R1_logCR,0.035820984288611524
0.005667060212514758,FAS_logCR,0.03995980746458572
0.005647058823529411,IL7R_logCR,0.047657369980883435
0.005610303729334871,FLCN_logCR,0.05582181729040596
0.005541958041958042,BRAF_logCR,0.04515910914894812
0.0055250142014847915,NKX2.1_logCR,0.03302176235876971
0.005454295078355229,GNA13_logCR,0.03896509097387805
0.005409246654921394,SMO_logCR,0.03212972322471285
0.005356427015250544,CD276_logCR,0.03389625089000285
0.005333333333333333,RNF43_logCR,0.053065996645686384
0.005294117647058823,FGF2_logCR,0.052675805493879825
0.0052486802413273005,FLT4_logCR,0.03741678276475278
0.005245315904139434,HNF1A_logCR,0.04206513234995846
0.005176463747892319,EIF1AX_logCR,0.04036665216935254
0.00515151515151515,PDGFRA_logCR,0.05125692857821979
0.004871794871794871,MDC1_logCR,0.04847374693596352
0.004848484848484849,TERT_logCR,0.04824181513244211
0.004848484848484849,NCOA3_logCR,0.048241815132442155
0.004833986928104575,NRG1_logCR,0.048097562646016744
0.004833986928104575,EED_logCR,0.048097562646016744
0.0047899159663865555,TET2_logCR,0.03530402021944689
0.004772340077948145,MAP3K14_logCR,0.04748418423158829
0.004764813311688312,ID3_logCR,0.035495163838113006
0.004747596008100209,TERC_logCR,0.03328627786980698
0.004724386724386723,CUX1_logCR,0.03712808008860354
0.004623323013415892,IRS2_logCR,0.04600148316034732
0.004594076283826976,IDH2_logCR,0.0457104818751731
0.00458866545023113,MYD88_logCR,0.03495523361365403
0.004545454545454546,BRIP1_logCR,0.04522670168666454
0.004468844696969698,STAT3_logCR,0.03470388230314457
0.004466666666666666,CTCF_logCR,0.03535288767083484
0.004408756095030605,PLK2_logCR,0.030870433745730574
0.004389610389610389,FANCC_logCR,0.043676071914550314
0.004389610389610389,GATA4_logCR,0.04367607191455032
0.004383116883116883,MAGI2_Missense_Mutation,0.04361146234071226
0.0041944116489571045,NF1_logCR,0.04173386896765994
0.004183639705882352,TFE3_Missense_Mutation,0.03204526368644398
0.0041666666666666675,PIK3C2B_logCR,0.0414578098794425
0.004166666666666667,TGFBR1_logCR,0.041457809879442524
0.004036413624514313,GREM1_logCR,0.036168564570240765
0.003976608187134503,RUNX1T1_Missense_Mutation,0.03956675188494158
0.0039651416122004355,AXIN1_logCR,0.03000590882615861
0.0037777777777777783,H3F3B_logCR,0.037588414290694566
0.0036601307189542483,CALR_logCR,0.03641784083527496
0.0036178932178932187,CBL_logCR,0.026293336790971494
0.0036000000000000003,PRKAR1A_logCR,0.0358195477358384
0.0035790849673202605,BCL2_logCR,0.03561144578820814
0.0035790849673202605,LRP1B_logCR,0.03561144578820817
0.0035555555555555544,FLT3_logCR,0.03537733109712428
0.003492063492063492,ACVR1B_logCR,0.03474559304181848
0.0034564620649026718,RUNX1_logCR,0.02521078636260402
0.003425047826667261,EP300_Missense_Mutation,0.025871632188181906
0.0034230827897347147,GID4_logCR,0.019623288074413225
0.003394652406417112,ERCC4_logCR,0.033776364977287816
